Area Name,"Employment per 1,000 jobs",Occupation
South Carolina (45-00000),1.239,Data Scientist
South Dakota (46-00000),0.586,Data Scientist
Tennessee (47-00000),0.778,Data Scientist
Texas (48-00000),1.691,Data Scientist
Utah (49-00000),2.827,Data Scientist
Vermont (50-00000),0.698,Data Scientist
Virginia (51-00000),1.525,Data Scientist
Washington (53-00000),2.240,Data Scientist
West Virginia (54-00000),0.320,Data Scientist
Wisconsin (55-00000),1.243,Data Scientist
Wyoming (56-00000),(8) -,Data Scientist
Alabama (01-00000),25.503,Registered Nurse
Alaska (02-00000),21.920,Registered Nurse
Arizona (04-00000),20.155,Registered Nurse
Arkansas (05-00000),21.970,Registered Nurse
California (06-00000),18.093,Registered Nurse
Colorado (08-00000),18.853,Registered Nurse
Connecticut (09-00000),23.198,Registered Nurse
Delaware (10-00000),27.822,Registered Nurse
District of Columbia (11-00000),13.810,Registered Nurse
Florida (12-00000),22.210,Registered Nurse
Georgia (13-00000),20.059,Registered Nurse
Guam (66-00000),10.952,Registered Nurse
Hawaii (15-00000),21.099,Registered Nurse
Idaho (16-00000),17.214,Registered Nurse
Illinois (17-00000),23.066,Registered Nurse
Indiana (18-00000),21.638,Registered Nurse
Iowa (19-00000),21.438,Registered Nurse
Kansas (20-00000),22.805,Registered Nurse
Kentucky (21-00000),24.163,Registered Nurse
Louisiana (22-00000),24.479,Registered Nurse
Maine (23-00000),25.626,Registered Nurse
Maryland (24-00000),17.835,Registered Nurse
Massachusetts (25-00000),24.759,Registered Nurse
Michigan (26-00000),23.735,Registered Nurse
Minnesota (27-00000),22.167,Registered Nurse
Mississippi (28-00000),25.351,Registered Nurse
Missouri (29-00000),25.452,Registered Nurse
Montana (30-00000),20.666,Registered Nurse
Nebraska (31-00000),23.801,Registered Nurse
Nevada (32-00000),18.024,Registered Nurse
New Hampshire (33-00000),24.266,Registered Nurse
New Jersey (34-00000),22.387,Registered Nurse
New Mexico (35-00000),20.343,Registered Nurse
New York (36-00000),21.392,Registered Nurse
North Carolina (37-00000),22.153,Registered Nurse
North Dakota (38-00000),25.953,Registered Nurse
Ohio (39-00000),25.037,Registered Nurse
Oklahoma (40-00000),19.426,Registered Nurse
Oregon (41-00000),20.300,Registered Nurse
Pennsylvania (42-00000),24.415,Registered Nurse
Puerto Rico (72-00000),23.870,Registered Nurse
Rhode Island (44-00000),21.796,Registered Nurse
South Carolina (45-00000),22.143,Registered Nurse
South Dakota (46-00000),32.017,Registered Nurse
Tennessee (47-00000),20.765,Registered Nurse
Texas (48-00000),18.853,Registered Nurse
Utah (49-00000),15.078,Registered Nurse
Vermont (50-00000),23.793,Registered Nurse
Virgin Islands (78-00000),13.671,Registered Nurse
Virginia (51-00000),19.048,Registered Nurse
Washington (53-00000),18.275,Registered Nurse
West Virginia (54-00000),30.996,Registered Nurse
Wisconsin (55-00000),22.219,Registered Nurse
Wyoming (56-00000),18.600,Registered Nurse
Alabama (01-00000),8.180,Machinery Mechanic
Alaska (02-00000),2.041,Machinery Mechanic
Arizona (04-00000),1.393,Machinery Mechanic
Arkansas (05-00000),5.252,Machinery Mechanic
California (06-00000),1.428,Machinery Mechanic
Colorado (08-00000),2.025,Machinery Mechanic
Connecticut (09-00000),1.774,Machinery Mechanic
Delaware (10-00000),2.173,Machinery Mechanic
District of Columbia (11-00000),0.269,Machinery Mechanic
Florida (12-00000),1.408,Machinery Mechanic
Georgia (13-00000),2.680,Machinery Mechanic
Guam (66-00000),2.275,Machinery Mechanic
Hawaii (15-00000),1.221,Machinery Mechanic
Idaho (16-00000),2.102,Machinery Mechanic
Illinois (17-00000),1.560,Machinery Mechanic
Indiana (18-00000),5.556,Machinery Mechanic
Iowa (19-00000),3.751,Machinery Mechanic
Kansas (20-00000),4.592,Machinery Mechanic
Kentucky (21-00000),5.224,Machinery Mechanic
Louisiana (22-00000),3.088,Machinery Mechanic
Maine (23-00000),2.228,Machinery Mechanic
Maryland (24-00000),1.118,Machinery Mechanic
Massachusetts (25-00000),1.726,Machinery Mechanic
Michigan (26-00000),4.294,Machinery Mechanic
Minnesota (27-00000),2.277,Machinery Mechanic
Mississippi (28-00000),4.321,Machinery Mechanic
Missouri (29-00000),1.525,Machinery Mechanic
Montana (30-00000),1.752,Machinery Mechanic
Nebraska (31-00000),2.688,Machinery Mechanic
Nevada (32-00000),1.611,Machinery Mechanic
New Hampshire (33-00000),3.131,Machinery Mechanic
New Jersey (34-00000),2.143,Machinery Mechanic
New Mexico (35-00000),3.168,Machinery Mechanic
New York (36-00000),1.324,Machinery Mechanic
North Carolina (37-00000),3.195,Machinery Mechanic
North Dakota (38-00000),6.507,Machinery Mechanic
Ohio (39-00000),3.651,Machinery Mechanic
Oklahoma (40-00000),3.690,Machinery Mechanic
Oregon (41-00000),3.300,Machinery Mechanic
Pennsylvania (42-00000),3.076,Machinery Mechanic
Puerto Rico (72-00000),3.389,Machinery Mechanic
Rhode Island (44-00000),2.075,Machinery Mechanic
South Carolina (45-00000),4.191,Machinery Mechanic
South Dakota (46-00000),2.808,Machinery Mechanic
Tennessee (47-00000),3.084,Machinery Mechanic
Texas (48-00000),4.127,Machinery Mechanic
Utah (49-00000),2.291,Machinery Mechanic
Vermont (50-00000),2.324,Machinery Mechanic
Virginia (51-00000),2.338,Machinery Mechanic
Washington (53-00000),2.911,Machinery Mechanic
West Virginia (54-00000),4.506,Machinery Mechanic
Wisconsin (55-00000),4.960,Machinery Mechanic
Wyoming (56-00000),8.232,Machinery Mechanic
Alabama (01-00000),2.138,Electrical Engineer
Alaska (02-00000),1.187,Electrical Engineer
Arizona (04-00000),1.554,Electrical Engineer
Arkansas (05-00000),0.722,Electrical Engineer
California (06-00000),1.310,Electrical Engineer
Colorado (08-00000),1.650,Electrical Engineer
Connecticut (09-00000),1.734,Electrical Engineer
Delaware (10-00000),1.268,Electrical Engineer
District of Columbia (11-00000),0.729,Electrical Engineer
Florida (12-00000),0.753,Electrical Engineer
Georgia (13-00000),0.944,Electrical Engineer
Guam (66-00000),2.795,Electrical Engineer
Hawaii (15-00000),1.573,Electrical Engineer
Idaho (16-00000),1.090,Electrical Engineer
Illinois (17-00000),0.960,Electrical Engineer
Indiana (18-00000),1.212,Electrical Engineer
Iowa (19-00000),0.799,Electrical Engineer
Kansas (20-00000),1.618,Electrical Engineer
Kentucky (21-00000),0.804,Electrical Engineer
Louisiana (22-00000),0.447,Electrical Engineer
Maine (23-00000),1.530,Electrical Engineer
Maryland (24-00000),1.594,Electrical Engineer
Massachusetts (25-00000),1.312,Electrical Engineer
Michigan (26-00000),2.470,Electrical Engineer
Minnesota (27-00000),1.174,Electrical Engineer
Mississippi (28-00000),1.061,Electrical Engineer
Missouri (29-00000),1.000,Electrical Engineer
Montana (30-00000),1.266,Electrical Engineer
Nebraska (31-00000),1.066,Electrical Engineer
Nevada (32-00000),0.484,Electrical Engineer
New Hampshire (33-00000),2.075,Electrical Engineer
New Jersey (34-00000),0.851,Electrical Engineer
New Mexico (35-00000),1.836,Electrical Engineer
New York (36-00000),0.809,Electrical Engineer
North Carolina (37-00000),1.340,Electrical Engineer
North Dakota (38-00000),0.620,Electrical Engineer
Ohio (39-00000),1.092,Electrical Engineer
Oklahoma (40-00000),1.094,Electrical Engineer
Oregon (41-00000),1.542,Electrical Engineer
Pennsylvania (42-00000),1.273,Electrical Engineer
Puerto Rico (72-00000),0.640,Electrical Engineer
Rhode Island (44-00000),1.328,Electrical Engineer
South Carolina (45-00000),1.081,Electrical Engineer
South Dakota (46-00000),0.979,Electrical Engineer
